division,Month_names,spei_gamma_03,lat,lon,tmp,pre
0,April,0.0007879467,4.75,5.25,27.843334,175.30501
0,August,-0.0045243306,4.75,5.25,25.185001,149.91501
0,December,-0.002557634,4.75,5.25,27.259167,63.535835
0,February,-1.0950586e-05,4.75,5.25,28.330833,59.606667
0,January,-1.2820712e-05,4.75,5.25,27.2675,51.81167
0,July,-2.6556042e-06,4.75,5.25,25.3675,200.10834
0,June,-0.006141923,4.75,5.25,26.256666,255.33
0,March,-1.0224347e-05,4.75,5.25,28.250834,130.70584
0,May,-0.010161371,4.75,5.25,27.19,228.1125
0,November,-1.0008088e-05,4.75,5.25,27.203333,123.45917
0,October,-7.604699e-06,4.75,5.25,26.211668,261.1675
0,September,-0.0040175384,4.75,5.25,25.668333,230.115
1,April,0.004197779,4.75,5.75,27.653334,196.69084
1,August,7.63163e-06,4.75,5.75,25.195833,230.7075
1,December,-1.863294e-05,4.75,5.75,26.961668,48.153336
1,February,-0.0030511008,4.75,5.75,28.035833,68.205
1,January,-0.00087179296,4.75,5.75,26.970001,46.38667
1,July,-4.9186588e-06,4.75,5.75,25.273335,313.34167
1,June,-0.007456241,4.75,5.75,25.953333,284.25418
1,March,-1.2365077e-05,4.75,5.75,28.053333,140.54417
1,May,-0.0075229043,4.75,5.75,26.9825,254.96584
1,November,-1.0832371e-05,4.75,5.75,26.905,122.04
1,October,6.2050144e-06,4.75,5.75,26.1325,288.85583
1,September,3.313271e-05,4.75,5.75,25.575834,315.74167
2,April,0.00396772,4.75,6.25,27.565834,199.96167
2,August,6.4327546e-06,4.75,6.25,25.300001,256.11917
2,December,-0.0018326505,4.75,6.25,26.76,44.220833
2,February,-0.0023419184,4.75,6.25,27.938334,66.85
2,January,-0.00010707774,4.75,6.25,26.875,45.33
2,July,-5.5690316e-06,4.75,6.25,25.28,324.19168
2,June,-0.00031667063,4.75,6.25,25.963333,282.58585
2,March,-0.0014259089,4.75,6.25,27.956667,141.93916
2,May,-7.800587e-06,4.75,6.25,26.890833,256.91916
2,November,-8.9455025e-06,4.75,6.25,26.808334,121.23417
2,October,9.764106e-06,4.75,6.25,26.031668,290.655
2,September,0.0008949631,4.75,6.25,25.575,336.33585
3,April,0.0039345464,4.75,6.75,27.688334,199.27583
3,August,-6.97899e-06,4.75,6.75,25.403334,278.05417
3,December,-0.0014961727,4.75,6.75,26.76,40.969166
3,February,-0.000507247,4.75,6.75,27.945833,65.64083
3,January,-1.1162754e-05,4.75,6.75,26.7775,45.357502
3,July,-4.1831286e-06,4.75,6.75,25.388334,320.64584
3,June,-2.6363102e-06,4.75,6.75,26.0875,284.93335
3,March,-0.0005895868,4.75,6.75,27.9675,141.45
3,May,-1.3437782e-06,4.75,6.75,27.0025,258.12918
3,November,-0.00019676548,4.75,6.75,26.808334,120.973335
3,October,-0.0023367908,4.75,6.75,26.140833,289.51834
3,September,1.8323151e-05,4.75,6.75,25.691668,349.1475
4,April,0.0029412343,4.75,7.25,27.7,196.49
4,August,-0.0012980134,4.75,7.25,25.520834,299.98666
4,December,-0.0036027078,4.75,7.25,26.660833,40.53417
4,February,-6.119525e-06,4.75,7.25,27.960835,62.3475
4,January,-7.295026e-06,4.75,7.25,26.809168,43.803333
4,July,-6.2199156e-06,4.75,7.25,25.496668,319.99335
4,June,-5.5281407e-06,4.75,7.25,26.19,292.93085
4,March,-9.9790595e-06,4.75,7.25,28.0025,142.58417
4,May,-4.6598336e-07,4.75,7.25,27.106667,259.92
4,November,-0.0018051941,4.75,7.25,26.825834,123.79083
4,October,-0.003761811,4.75,7.25,26.164167,292.41083
4,September,7.4342693e-06,4.75,7.25,25.800835,358.47333
5,April,0.00015163151,4.75,7.75,27.709167,196.72833
5,August,-2.0388712e-05,4.75,7.75,25.335835,326.81668
5,December,-0.0016845907,4.75,7.75,26.456667,41.364166
5,February,-3.1210263e-06,4.75,7.75,27.865833,56.914165
5,January,-2.2985903e-06,4.75,7.75,26.6225,40.74
5,July,-1.6994036e-05,4.75,7.75,25.407501,326.63583
5,June,-2.8747531e-06,4.75,7.75,26.099167,305.9725
5,March,-0.00023163992,4.75,7.75,28.01,140.66417
5,May,-3.3974067e-07,4.75,7.75,27.014168,261.29752
5,November,-8.973324e-06,4.75,7.75,26.725834,129.28
5,October,-0.0028261102,4.75,7.75,26.176666,299.95
5,September,-7.3341535e-06,4.75,7.75,25.705833,368.56668
6,April,0.0014399335,4.75,8.25,27.829166,195.64334
6,August,-1.8046478e-05,4.75,8.25,25.240833,364.5975
6,December,-9.253419e-06,4.75,8.25,26.456667,39.0275
6,February,-2.8318507e-06,4.75,8.25,27.868334,52.605835
6,January,-1.9490597e-06,4.75,8.25,26.623333,36.81
6,July,-0.00097492995,4.75,8.25,25.3025,345.92502
6,June,-4.4795065e-06,4.75,8.25,26.208334,322.02167
6,March,-9.194327e-07,4.75,8.25,28.006666,139.37167
6,May,4.8510265e-07,4.75,8.25,27.006666,261.62167
6,November,-7.927839e-06,4.75,8.25,26.827501,131.8775
6,October,-0.0026274594,4.75,8.25,26.179167,305.80917
6,September,-7.3339634e-06,4.75,8.25,25.698334,381.27417
7,April,0.002483666,4.75,8.75,27.526667,196.4075
7,August,-1.4859133e-05,4.75,8.75,24.943333,406.56418
