Table 6: Correlation Between USDA Soil Taxonomy and World Reference Base (WRB) for Soil Resources
Soils unit,Local name,USDA Soil Taxonomy,WRB
TLLI,Tulluwa series,Typic Endoaqualfs,Haplic Luvisols
TUP2,Runjin Abdu series,Typic Haplustepts,Argic Lixisols
TUP3,Saidawa series,Lithic Ustorthents,Ruptic Cambisols
