Table 1: Morphological Properties of the Soils of Dingyadi District,,,,
Pedon,Horizon,Depth(cm),Colour*,Mottling,Texturalclass,Structure*,Consistence*,Otherfeatures,Boundary
,,,TLL 1,,,(Typic Endoaqualfs),,,
1,,,,,,,,,,
,Ap,0-30,5YR2/3,,LS,,1sbk,Fi,"3fnr,mp",DW
,AB,30-49,5YR 4/4,,LS,,2sbk,Fr,"1fnr,fp",GS
,B,49-73,10YR4/4,,SCL,3sbk,Fr,"1fnr,fp",GS
,Bt1,73-104,10YR3/3,5 YR 4/6,SCL,2abk,Lo,1fnr,GS
,Bt2,104-110,10YR 3/2,2.5YR,SCL,2abk,Fr,1fnr,
,,,,3/6,,,,,,
2,Ap,0-18,10YR,,LS,,1sbk,Fi,"3fnr, mp",DC
,AB,18-27,10YR 4/6,,LS,,1sbk,Fi,"3fnr, mp",GS
,Bt1,27-40,2.5 YR 4/2,,SCL,2sbk,Fi,3fnr,DS
,Bt2,40-64,7.5YR 3/2,7.5YR,SCL,2sbk,Fi,"1fnr,fp",AS
,,,,3/6,,,,,,
,Bt3,64-69,10YR 2/2,10YR,SCL,1abk,Fi,"1fnr,",
,,,,5/6,,,,,,
,,,TUP 2,,,(Typic Haplustepts),,,
3,,,,,,,,,,
,Ap,0-18,7.5YR 4/6,,LS,,1fsbk,Fr,"3fnr,mp",DW
,AB,18-27,7.5 YR 5/8,,LS,,2fbk,Fr,1fnr,GS
,2Bw1,27-66,5YR 5/8,,SCL,2fsbk,Fi,1fnr,GS
,2Bw2,66-135,5YR 7/6,,SL,,2fsbk,Fi,-,DW
,2Bw3,135-204,5YR 5/6,,SCL,1fsbk,Fi,-,
4,Ap,0-28,7.5 YR 5/6,,LS,,1abk,Fr,3fnr,DS
,AB,28-44,7.5YR 5/4,,LS,,1sbk,Fr,"1fnr, fp",DW
,2B1,44-97,7.5YR 5/4,,SL,,1sbk,Fi,Fp,DW
,2B2,97-135,7.5YR 4/6,,LS,,2sbk,Fi,-,GS
,2Bt1,135-175,10YR 5/8,,LS,,1sbk,Fi,-,AC
,2Bt2,175-203,10YR 6/8,,SCL,2abk,Fi,-,
,,,TUP 3,,,(Lithic Ustorthents),,,
5,Ap,0-11,2.5YR 4/6,,S,,M,Lo,"3fnr, mp",AC
,AB,11-40,5YR 6/8,,S,,M,Fr,"3fnr,mp",GS
,B,40-43,7.5 YR 6/8,,S,,M,Fr,"1fnr, fp",
6,Ap,0-10,7.5YR 7/8,,LS,,M,Fr,"3fnr,fp",AW
,AB,10-18,2.5YR 4/6,,LS,,M,Fi,1fnr,GS
,B,18-21,5YR 5/8,,LS,,M,Fi,-,
