Timestamp,LST_Day_1km,LST_Night_1km,Year,Month,Day
2015-01-01,29.8092,16.941,2015,1,1
2015-01-02,30.2141,16.2522,2015,1,2
2015-01-03,28.7037,15.1516,2015,1,3
2015-01-04,27.2879,15.1362,2015,1,4
2015-01-05,28.3289,13.6639,2015,1,5
2015-01-06,25.9294,15.6571,2015,1,6
2015-01-07,29.3733,13.8884,2015,1,7
2015-01-08,26.3078,16.463,2015,1,8
2015-01-09,26.7608,14.6804,2015,1,9
2015-01-10,26.6181,15.2153,2015,1,10
2015-01-11,26.4721,14.7084,2015,1,11
2015-01-12,27.3941,13.2241,2015,1,12
2015-01-13,27.5684,14.225,2015,1,13
2015-01-14,32.5784,14.6697,2015,1,14
2015-01-15,29.5614,16.7771,2015,1,15
2015-01-16,32.9244,14.3772,2015,1,16
2015-01-17,30.9841,17.0129,2015,1,17
2015-01-18,34.704,17.9038,2015,1,18
2015-01-19,34.3293,18.9021,2015,1,19
2015-01-20,34.7938,19.1497,2015,1,20
2015-01-21,36.7629,18.8866,2015,1,21
2015-01-22,34.9832,19.2339,2015,1,22
2015-01-23,39.8612,17.8531,2015,1,23
2015-01-24,37.8335,19.4942,2015,1,24
2015-01-25,36.5668,18.0984,2015,1,25
2015-01-26,36.8182,18.4722,2015,1,26
2015-01-27,34.6455,17.9686,2015,1,27
2015-01-28,35.5945,19.1067,2015,1,28
2015-01-29,33.7142,18.5685,2015,1,29
2015-01-30,36.0487,16.5515,2015,1,30
2015-01-31,34.1784,19.218,2015,1,31
2015-02-01,39.1284,18.3855,2015,2,1
2015-02-02,37.6058,18.3761,2015,2,2
2015-02-03,37.9818,15.5341,2015,2,3
2015-02-04,38.5067,17.1726,2015,2,4
2015-02-05,39.6435,20.4545,2015,2,5
2015-02-06,41.1401,20.3087,2015,2,6
2015-02-07,38.5326,20.5073,2015,2,7
2015-02-08,40.7135,15.9802,2015,2,8
2015-02-09,39.5378,18.4143,2015,2,9
2015-02-10,41.8483,19.9427,2015,2,10
2015-02-11,36.4306,21.3301,2015,2,11
2015-02-12,35.1041,20.9917,2015,2,12
2015-02-13,39.4516,17.9986,2015,2,13
2015-02-14,39.6034,20.7175,2015,2,14
2015-02-15,41.6921,20.5373,2015,2,15
2015-02-16,38.2593,22.2488,2015,2,16
2015-02-17,38.7499,18.9728,2015,2,17
2015-02-18,35.4459,17.7143,2015,2,18
2015-02-19,37.7262,17.07,2015,2,19
2015-02-20,35.6261,18.4653,2015,2,20
2015-02-21,35.0421,20.677,2015,2,21
2015-02-22,34.5205,19.6241,2015,2,22
2015-02-23,33.2414,19.1843,2015,2,23
2015-02-24,33.7709,15.5318,2015,2,24
2015-02-25,30.4335,19.4802,2015,2,25
2015-02-26,35.7486,17.3291,2015,2,26
2015-02-27,34.3135,17.7608,2015,2,27
2015-02-28,33.2174,19.4135,2015,2,28
2015-03-01,34.1887,18.1192,2015,3,1
2015-03-02,33.3795,19.1247,2015,3,2
2015-03-03,34.0734,15.2034,2015,3,3
2015-03-04,28.8068,20.2919,2015,3,4
2015-03-05,32.7684,17.29,2015,3,5
2015-03-06,32.4619,19.8125,2015,3,6
2015-03-07,37.7497,19.7917,2015,3,7
2015-03-08,37.3016,20.8535,2015,3,8
2015-03-09,37.0345,20.134,2015,3,9
2015-03-10,38.4188,18.1936,2015,3,10
2015-03-11,37.2615,22.070999999999998,2015,3,11
2015-03-12,36.105,19.6349,2015,3,12
2015-03-13,32.1003,22.316999999999997,2015,3,13
2015-03-14,33.8787,19.5992,2015,3,14
2015-03-15,33.6886,21.4813,2015,3,15
2015-03-16,29.9202,17.9711,2015,3,16
2015-03-17,27.19,17.6612,2015,3,17
2015-03-18,33.5167,21.4824,2015,3,18
2015-03-19,38.4293,21.3659,2015,3,19
2015-03-20,34.9697,23.4814,2015,3,20
2015-03-21,37.9481,15.8281,2015,3,21
2015-03-22,33.2025,22.0364,2015,3,22
