Profile,Horizon,Depth,Colour,Texture,Structure,Consistence,Rootlets,Mottle,Concretions,Boundary,Others
No,,(cm),(moist),,,,,,,,
"",,,3,,,,,,,,
399,Ap,0-24,5YR /3,SL,Sabk,L,Ffirt,-,-,CS,-
"",,,4,,,,,,,,
"",AB,24-50,5YR /6,SCL,Sabk,L,Fvfirt,-,-,CS,-
"",,,4,,,,,,,,
"",,,,,,,,,,,
"",Bt1,,,,,,,,,,
"",,50-80,7.5YR /4,SCL,Sabk,L,Fvfirt,-,-,DS,-
"",,,4,,,,,,,,
"",Bt2,80-106,7.5YR /4,SCL,Sabk,L,Fvfirt,-,-,DS,-
"",,,4,,,,,,,,
"",,,,,,,,,,,
"",BC,,,,,,,,,,
"",,106-120,7.5YR /4,SCL,Sabk,L,Fvfirt,-,-,-,-
"",,,,,,,,,,,
"",,,3,,,,,,,,
400,,0-22,7.5YR /3,SL,Fsabk,L,Mfirt,-,-,GW,-
"",Ap,,,,,,,,,,
"",,,4,,,,,,,,
"",,,,,,,,,,,
"",AB,,,,,,,,,,
"",,22-50,5YR /4,SL,Fsabk,L,Fcort,-,-,CW,-
"",,,4,,,,,,,,
"",B1,50-73,7.5YR /4,SCL,Fsabk,L,Fcort,-,-,CW,-
"",,,4,,,,,,,,
"",,,,,,,,,,,
"",B2,,,,,,,,,,
"",,73-120,7.5YR /4,SCL,Fsabk,L,Fcort,-,-,-,-
"",,,,,,,,,,,
"",,,3,,,,,,,,
405,Ap,0-20,5YR /2,SL,Fsabk,L,Mmed,-,-,DS,-
"",,,3,,,,,,,,
"",,,,,,,,,,,
"",AB,,,,,,,,,,
"",,20-58,10YR /2,L,Fsabk,L,Mco,-,-,GS,-
"",,,4,,,,,,,,
"",Bt1,58-76,10YR /4,CL,Fsabk,Fr,Fmed,-,-,GS,-
"",,,4,,,,,,,,
"",,,,,,,,,,,
"",Bt2,,,,,,,,,,
"",,76-105,7.5YR /6,CL,Sabk,Fr,-,-,-,CS,-
"",,,,,Sand,Clay,,,
"",Elevation(masl),Coordinate,,Horizon,,,Silt,,
ProfileID,,,Horizon,Depth (cm),,g/Kg,,Silt/Clay ratio,Texture
"",,o,,,,,,,
399,88,5 19’,,,,,,,
"",,,,,,,,,
"",,23.9’’ N,,,,,,,
"",,o,,,,,,,
"",,7 33’,,,,,,,
"",,,,,,,,,
"",,57.2’’ E,Ap,0-24,400,460,140,0.30,C
"",,,,,,,,,
"",,,AB,24-50,300,520,180,0.35,C
"",,,Bt1,50-80,620,320,60,0.19,SCL
"",,,Bt2,80-106,540,400,60,0.15,SC
"",,,BC,106-120,480,440,80,0.18,SC
"",,o,,,,,,,
400,127,5 20’,,,,,,,
"",,,,,,,,,
"",,18.6’’ N,,,,,,,
"",,o,,,,,,,
"",,7 35’,,,,,,,
"",,,,,,,,,
"",,14.7’’ E,Ap,0-22,520,400,800,2.0,SC
"",,,AB,22-50,500,420,800,1.9,SC
"",,,B1,50-73,740,200,600,3.0,SL
"",,,B2,73-120,660,290,500,1.7,SCL
"",,,,,,,,,
405,69,5o 21’,,,,,,,
"",,33.0’’ N,,,,,,,
"",,7o 38’,,,,,,,
"",,54.7’’ E,Ap,0-20,520,340,140,0.41,SCL
"",,,AB,20-58,720,240,40,0.17,SCL
"",,,B1,58-76,720,240,40,0.17,SCL
"",,,B2,76-105,700,260,40,0.15,SCL
Profile,Horizon,Depth,Colour,Texture,Structure,Consistenc,Rootlets,Mottle,Concretions,Boundary,Others
No,,(cm),(moist),,,e,,,,,
"",,,5,,,,,,,,
401,Ap,0-15,2.5YR /0,SL,Sabk,Fr,Mmdrt,-,F Fe/mn,CW,Fst
"",,,5,,,,,,,,
"",AB,15-32,2.5YR /0,SL,Sabk,Fr,Mmdrt,-,F Fe/mn,CW,Fst
"",,,2,,,,,,,,
"",Bt1,32-60,7.5YR /0,SL,Sabk,Fr,Mmdrt,-,M Fe/mn,DS,Fst
"",,,3,,,,,,,,
"",Bt2,60-80,7.5YR /2,SL,Sabk,L,Vfcort,-,M Fe/mn,CS,Fst
"",,,3,,,,,,,,
"",BC,80-110,7.5YR /3,SCL,Sabk,L,Vcort,-,M Fe/mn,-,Fst
"",,,,,,,,,,,
"",,,4,,,,,,,,
402,,0-10,10YR /3,C,Vfasbk,Fi,Mmedrt,-,-,DS,
"",Ap,,,,,,,,,,
"",,,4,,,,,,,,
"",AB,10-25,5YR /4,C,Vfasbk,Fi,Mmedrt,-,C Fe,DS,
"",,,5,,,,,,,,
"",,25-40,10YR /3,C,Vfasbk,Fi,Mmedrt,Mmed,"C, Fe",DS,
"",,,,,,,,,,,
"",Bt1,,,,,,,(2.5YR 3⁄4),,,
"",,,5,,,,,,,,
"",,40-60,10YR /3,C,Vfasbk,Fi,Mmed,Mmed,"C, Fe",-,
"",Bt2,,,,,,,(2.5YR 3⁄4),,,
"",,,,,,,,,,,
"",,,4,,,,,,,,
403,,0-15,7.5YR /3,SCL,Fsabk,Fi,Ffirt,-,-,CW,
"",Ap,,,,,,,,,,
"",,,4,,,,,,,,
"",AB,15-48,10YR /4,SCL,Fsabk,Fi,Fmdrt,-,-,CW,
"",,,4,,,,,4,,,
"",,,10YR /6,SCL,Vfsabk,Fr,Ffirt,7.5YR /6,-,CW,
"",B1,48-75,,,,,,Mmdmt,,,
"",,,4,,,,,4,,,
"",,,10YR /6,SCL,Vfsabk,Fr,Fvfirt,7.5YR /6,-,-,
"",B2,75-100,,,,,,Mmdmt,,,
"",,,,,,,,,,,
"",,,3,,,,,,,,
404,Ap,0-10,5YR /2,CL,Vfasbk,L,Mfi,-,-,CS,-
"",,,3,,,,,,,,
